source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,Aspect,Slope,temperature,precipitation,wind_speed,event_year,event_month,event_day,event_weekday,season_encoded,event_hour,time_of_day_encoded,risk_zone,distance_to_nearest_landslide,location_risk_score,landslide_occurred
158,894,382,0,57,337,17,331,5,2,7,1,8,14,11,7,0,2,0,382,0,0,15,342,310,273,0,0,0,172,1158,642,243,6,473,647,0,5,3,0,0,0,0,0,1253,0,1
158,0,430,1,57,208,18,205,4,2,7,1,8,14,11,7,0,2,0,430,0,0,15,60,165,504,0,0,0,126,1135,642,243,222,54,139,0,5,10,0,0,0,0,0,1076,0,1
48,4,525,2,57,209,25,206,5,2,2,1,8,2,11,7,0,2,0,525,0,0,15,60,165,1195,30,0,0,125,1144,642,243,26,0,31,0,5,15,4,0,0,0,0,1237,0,1
162,255,810,3,57,947,13,938,6,2,2,1,8,32,11,7,0,2,0,810,0,0,35,59,191,342,0,0,0,901,620,487,97,259,0,312,0,6,2,2,1,0,0,4,535,0,1
59,0,1048,4,57,343,1046,337,5,2,7,1,8,32,11,7,0,2,0,1048,0,0,15,296,282,132,0,0,0,235,1076,642,243,166,0,690,0,7,29,1,1,0,0,0,1252,0,1
121,883,1114,5,57,761,1002,754,5,2,7,1,8,32,11,7,0,2,0,1114,0,0,29,172,96,234,0,0,0,895,606,329,84,118,339,476,0,7,15,2,1,0,0,4,427,0,1
79,659,1219,6,57,318,1080,312,4,2,7,2,8,32,11,7,0,2,0,1219,0,0,5,244,299,771,0,0,0,853,492,133,6,197,0,613,0,8,4,2,1,0,0,4,1168,0,1
69,634,1231,7,57,687,1089,679,4,2,7,1,8,32,11,7,0,2,0,1231,0,0,5,23,236,295,0,0,0,884,496,294,128,189,469,716,0,8,6,4,1,0,0,4,504,0,1
160,780,1,8,57,1103,32,1092,5,2,5,0,8,22,11,7,0,2,0,1,0,0,16,18,245,823,257,0,0,305,48,346,175,151,392,593,0,8,17,0,1,0,0,2,728,0,1
160,780,0,8,57,471,967,464,5,2,7,1,8,32,11,7,0,2,0,0,0,0,16,218,160,1035,0,0,0,296,25,606,124,191,300,593,0,8,17,0,1,0,0,2,730,0,1
