source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,Aspect,Slope,temperature,precipitation,wind_speed,event_year,event_month,event_day,event_weekday,season_encoded,event_hour,time_of_day_encoded,risk_zone,distance_to_nearest_landslide,location_risk_score,landslide_occurred
Tribune India.com,http://www.tribuneindia.com/2007/20070313/j&k.htm#2,35,2007-03-12, 12:00:00 AM,Jammu-Srinagar highway,"2 killed, 4000 stranded, hwy remained closed for more than a week; relief and rescue efforts were hampered by the stranded cars on the hwy.",Jammu-Srinagar highway,50km,landslide,rain,medium,unknown,2.0,,,,,glc,35,India,IN,Kashmir,975857,Srinagar,10.00335,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,74.9112,34.0935,,,-0.8,6.1,4.7,2007,3,12,0,0,0,0,0.0,,0,
Tribune India.com,,37,2007-03-19, 12:00:00 AM,Doba,"2 killed, 5 injured",Doba,25km,landslide,rain,medium,unknown,2.0,,,,,glc,37,India,IN,Kashmir,14711,Kupwāra,18.10887,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,74.3333,33.8778,,,3.6,0.1,1.5,2007,3,19,0,0,0,0,0.0,58.431971771729806,0,
Gulfnews.com,http://archive.gulfnews.com/articles/07/03/23/10113087.html,43,2007-03-23, 12:00:00 AM,"Doba Sayedan, Kashmir","28 feared dead- 10 confirmed, 15 injured - several area incidents","Doba Sayedan, Kashmir",50km,landslide,downpour,medium,unknown,10.0,,,,,glc,43,India,IN,Kashmir,14711,Kupwāra,9.48165,2014-09-12 19:59:00,2017-11-20 15:17:00,2018-02-15 15:51:00,74.3313,33.9659,,,-5.1,0.0,0.7,2007,3,23,4,0,0,0,0.0,9.798024866262123,0,
WebIndia123.com,http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,57,2007-04-11, 12:00:00 AM,"Sikkim, 13 km north of Gangtok","1000 tourists stranded, more than 180 vehicles stranded, 150 m stretch of road was covered, occurred at 2:00 local time","Sikkim, 13 km north of Gangtok",5km,landslide,downpour,medium,unknown,,,,,,glc,57,India,IN,,1464,Mangan,11.92749,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.6193,27.4459,345.507995605469,89.9982452392578,8.5,0.0,2.0,2007,4,11,2,1,0,0,4.0,1501.859262126469,0,
ICL,,73,2007-05-08, 12:00:00 AM,"Jammu-Srinagar hwy, Samarouli in Ramban district",hwy remains closed,"Jammu-Srinagar hwy, Samarouli in Ramban district",50km,landslide,rain,medium,unknown,,,,,,glc,73,India,IN,Kashmir,7317,Rāmban,0.79654,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,75.231,33.242,,,22.1,0.0,5.6,2007,5,8,1,1,0,0,0.0,99.20007763108104,0,
Sikkim times.com,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,78,2007-05-23, 12:00:00 AM,"Pangthang, on road b/t Gangtok and North Sikkim",along highway,"Pangthang, on road b/t Gangtok and North Sikkim",50km,landslide,rain,medium,unknown,,,,,,glc,78,India,IN,Sikkim,30700,Gangtok,1.48585,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.6069,27.3383,260.377838134766,89.9980392456055,17.9,1.2,3.0,2007,5,23,2,1,0,0,4.0,12.027059581790656,0,
Liveleak.com,http://www.liveleak.com/view?i=6f2_1188615914&c=1,93,2007-06-13, 12:00:00 AM,"Indira Bypass, Amdo Golai","on-duty policeman injured, road blocked by rocks causing closure","Indira Bypass, Amdo Golai",25km,landslide,rain,small,unknown,,,,,,glc,93,India,IN,Bengal,515574,Shiliguri,3.15411,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.4089,26.7324,167.662139892578,89.979866027832,25.2,0.0,4.3,2007,6,13,2,1,0,0,4.0,70.16916192772031,0,
Kalimpong.info,http://www.kalimpong.info/2007/06/15/landslide-hits-highway-raging-river-threatens-to-wreak-havoc/,94,2007-06-15, 12:00:00 AM,National Highway 31A at Sevoke,stranded traffic for hours,National Highway 31A at Sevoke,25km,landslide,rain,medium,unknown,,,,,,glc,94,India,IN,Bengal,12311,Odlābāri,10.70327,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,88.526,26.8096,240.116806030273,89.9986114501953,24.4,5.7,6.2,2007,6,15,4,1,0,0,4.0,14.451180673961494,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,101,2007-06-25, 12:00:00 AM,Wayanad,4 deaths reported b/w Wayanad and Kozhikode,Wayanad,50km,landslide,monsoon,large,unknown,4.0,,,,,glc,101,India,IN,Kerala,11651,Panamaram,3.87096,2016-01-08 23:23:00,2017-11-20 15:17:00,2018-02-15 15:51:00,76.074,11.7095,270.0,89.9991760253906,20.6,2.0,4.1,2007,6,25,0,1,0,0,2.0,2110.440491242789,0,
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,100,2007-06-25, 12:00:00 AM,Kozhikode,United Nations Development Programme - Relief Web,Kozhikode,50km,landslide,rain,medium,unknown,,,,,,glc,100,India,IN,Kerala,439922,Kozhikode,5.8806,2014-04-01 00:00:00,2017-11-20 15:17:00,2018-02-15 15:51:00,75.8275,11.2738,78.6900634765625,89.9985733032227,24.6,0.9,4.1,2007,6,25,0,1,0,0,2.0,2165.4456634850567,0,
